"Départements";"Charpentier";"Menuisiers";"Charrons";"Scieur de long";"Constructeur de Bateau";"Ouvrier du bois";"Serruriers";"Taillandiers forgeron";"Coutelliers";"Armuriers";"Maréchaux-ferrants";"Autres ouvriers des métaux";"Bourreliers";"Selliers";"Cordonniers";"Autres ouvriers en cuir";"Maçon tailleur de pierre";"Carriers et mineurs ";"Autres ouvriers en pierre";"Laboureurs";"Terrassiers";"Charretiers ";"Autres employée à la campagne ";"Employée commis en estivale";"Tailleur d'habits";"Bateliers mariniers ";"Autre professions";"Sans professions";"vivant de leur revenus "
"Ain";6;13;8;;;13;2;7;;;7;2;2;1;24;11;18;;1;1219;;3;23;7;12;5;134;2;5
"Aisne";72;81;74;50;;190;36;20;2;2;91;16;26;8;94;12;176;12;5;466;7;165;768;63;65;8;3031;187;38
"Allier";22;35;11;5;1;72;15;3;2;1;48;8;3;7;32;8;47;1;4;1269;4;9;632;26;43;11;419;172;164
"Basses-Alpes";1;10;2;;;2;1;2;2;;20;2;2;1;37;3;24;;;869;;5;504;10;17;7;268;41;37
"Hautes-Alpes";7;13;4;2;;4;7;1;;1;12;2;1;;31;5;17;1;;691;;9;410;106;9;1;134;59;8
"Ardèche";16;63;8;6;;15;22;;;1;36;8;2;3;107;16;75;3;1;2477;;11;300;15;36;10;444;96;53
"Ardennes";53;61;51;14;1;98;33;35;2;42;66;195;12;8;129;2;76;31;14;451;5;55;683;51;78;3;988;86;3
"Ariège";14;18;3;10;2;6;2;45;3;;12;28;2;1;45;3;48;5;1;1683;2;22;25;9;58;;385;8;28
"Aube";33;23;24;10;;45;17;1;;;30;12;10;3;23;3;47;;3;486;3;35;543;59;14;5;559;152;30
"Aude";27;34;20;10;1;27;8;7;2;;48;9;7;5;59;21;48;2;3;448;892;20;536;42;28;29;615;114;90
"Aveyron";12;39;2;13;;6;5;10;3;1;22;13;2;5;59;31;43;;3;;;11;2613;7;31;;429;103;123
"Bouches-du-Rhône";4;37;16;2;1;89;18;12;2;;18;8;14;2;58;4;101;20;6;1302;1;64;157;167;20;242;1054;29;40
"Calvados";145;99;19;4;;101;35;3;1;3;65;54;21;7;117;59;242;24;11;907;75;14;1921;190;68;1;1910;103;28
"Cantal";14;4;;8;;38;3;6;;;11;184;;;215;5;15;;5;1310;4;5;123;12;7;2;478;52;8
"Charente";100;32;14;25;;52;10;17;6;4;63;12;;4;46;15;131;1;2;2434;6;16;8;22;60;95;546;97;36
"Charente-Inférieure";83;38;22;3;;82;17;22;2;2;58;12;4;7;38;14;57;3;7;2426;3;10;184;50;30;233;437;119;75
"Cher";22;32;26;8;1;62;19;14;2;2;42;11;9;;32;11;41;5;5;551;2;28;1435;69;14;43;368;84;44
"Corrèze";18;16;8;79;;3;6;14;3;33;8;35;3;1;42;8;72;1;2;1789;;5;27;17;15;48;290;47;50
"Corse";1;12;;;;2;1;7;;;5;5;1;1;40;;13;;;963;;;298;1;10;186;353;39;273
"Côte-d'or";58;61;60;12;;156;24;19;6;;106;45;25;7;92;15;112;3;45;1187;1;14;144;25;12;9;571;306;72
"Côtes-du-Nord";39;83;13;4;;51;9;21;1;1;32;18;;3;82;21;53;3;20;4372;1;6;62;26;115;640;1041;117;13
"Creuse";48;20;2;106;;17;6;1;1;1;25;4;;2;13;3;1264;;36;690;1;2;78;16;19;;267;110;17
"Dordogne";72;77;18;7;1;45;14;59;3;1;72;15;;3;75;13;116;12;2;3008;2;;8;35;137;60;670;52;146
"Doubs";9;21;4;1;;13;2;10;1;1;11;29;2;1;55;1;15;1;2;663;;3;149;18;8;;267;11;2
"Drôme";18;87;20;;;25;19;7;;2;59;9;10;4;119;20;91;2;4;2245;;15;64;34;41;7;360;109;17
"Eure";90;85;60;24;;155;40;14;4;3;77;102;21;8;111;29;117;5;2;548;673;205;447;77;74;32;2123;68;39
"Eure-et-Loir";47;51;48;22;;92;13;5;3;1;70;17;26;4;96;14;137;4;3;250;3;368;1168;26;62;1;626;175;3
"Finistère";25;55;11;2;21;29;12;19;1;2;24;12;1;1;42;9;40;8;;2928;1;2;33;29;87;517;753;34;14
"Gard";2;71;17;1;;73;24;2;2;1;52;20;18;1;92;18;99;17;13;1232;;10;1213;75;41;25;869;79;102
"Haute-Garonne";71;48;30;3;2;54;24;83;4;3;17;47;4;16;114;11;74;1;15;1527;373;31;735;53;94;39;1092;217;74
"Gers";66;25;18;5;;27;8;33;6;1;10;5;3;8;56;7;48;15;7;1100;20;;415;13;71;1;461;86;54
"Gironde";127;85;33;26;17;300;30;87;2;6;15;22;1;5;59;18;118;23;49;534;8;23;1862;118;103;384;1214;197;63
"Hérault";3;60;18;7;3;142;33;9;3;2;61;35;14;1;89;50;79;7;34;1231;420;345;180;86;55;165;754;36;100
"Ille-et-Vilaine";58;118;39;3;;53;9;17;3;6;58;34;11;3;83;41;60;6;31;3213;5;16;337;33;59;8;1596;21;23
"Indre";56;31;15;6;;25;14;15;1;1;39;3;6;5;24;16;115;2;;837;4;12;958;18;16;1;516;52;37
"Indre-et-Loire";70;74;40;14;;151;25;17;6;;58;21;16;4;69;18;146;2;9;1014;42;15;737;61;24;59;759;66;13
"Isère";110;74;42;10;;37;31;31;;1;74;29;14;4;142;16;80;;7;3044;1;17;141;46;73;19;1510;675;46
"Jura";14;19;16;1;;61;6;2;;2;28;69;4;1;33;11;37;4;2;380;;14;1701;71;3;;402;155;153
"Landes";100;24;10;18;2;58;6;66;1;;6;6;;2;28;2;31;2;;2003;1;;206;17;68;59;401;;66
"Loir-et-Cher";46;36;48;33;;98;14;7;5;1;66;7;9;4;52;13;74;9;4;497;5;163;937;20;13;21;591;14;9
"Loire";38;66;16;79;8;42;67;91;2;96;38;113;5;4;73;5;33;55;3;1577;32;56;286;39;44;43;1252;95;15
"Haute-Loire";20;29;2;11;;4;13;7;1;3;22;20;1;1;38;4;35;7;1;2468;49;16;54;17;49;2;355;187;49
"Loire-Inférieure";64;55;12;2;;135;15;55;4;2;45;34;2;2;54;11;84;26;10;2956;1;5;59;77;27;193;1180;179;116
